Name
Myxine glutinosa
Lamna nasus
Cetorhinus maximus
Centroscymnus coelolepis
Somniosus microcephalus
Squalus acanthias
Bathyraja spinicauda
Rajella bathyphila
Rajella fyllae
Rajella lintea
Notacanthus chemnitzii
Diastobranchus capensis
Clupea harengus
Argentina silus
Bathylagus euryops
Nansenia groenlandica
Maulisia microlepis
Alepocephalus agassizii
Cyclothone microdon
Argyropelecus hemigymnus
Argyropelecus olfersii
Maurolicus muelleri
Chauliodus sloani
Stomias boa
Arctozenus risso
Paralepis coregonoides
Lampanyctus macdonaldi
Myctophum punctatum
Notoscopelus kroyeri
Protomyctophum arcticum
Lampris guttatus
Trachipterus arcticus
Coelorinchus labiatus
Coryphaenoides rupestris
Macrourus berglax
"Brosme	brosme"
Ciliata septentrionalis
Enchelyopus cimbrius
Gaidropsarus argentatus
Gaidropsarus ensis
Molva dypterygia
Molva molva
Phycis blennoides
Eleginus nawaga
Gadus morhua
Melanogrammus aeglefinus
Merlangius merlangus
Micromesistius poutassou
Pollachius virens
Trisopterus esmarkii
Lophius piscatorius
Belone belone
Scomberesox saurus
Entelurus aequoreus
Sebastes mentella
Sebastes norvegicus
Sebastes viviparus
Artediellus uncinatus
Triglops murrayi
Cottunculus subspinosus
Agonus cataphractus
Cyclopteropsis jordani
Cyclopteropsis mcalpini
Cyclopterus lumpus
Eumicrotremus spinosus
Careproctus kidoi
Careproctus micropus
Liparis atlanticus
Paraliparis copei
Trachurus trachurus
Gymnelus retrodorsalis
Lycenchelys muraena
Lycenchelys paxillus
Lycenchelys platyrhina
Lycenchelys sarsii
Lycodes esmarkii
Lycodes gracilis
Lycodes lavalaei
Lycodes luetkenii
Lycodes mcallisteri
Lycodes paamiuti
"Lycodes	vahlii"
Lycodonus flagellicauda
Lycodonus mirabilis
Zoarces viviparus
Chirolophis ascanii
Lumpenus lampretaeformis
Pholis gunnellus
Anarhichas lupus
Anarhichas minor
Ammodytes americanus
Ammodytes dubius
Ammodytes marinus
Ammodytes tobianus
Scomber scombrus
Glyptocephalus cynoglossus
Hippoglossoides platessoides
Hippoglossus hippoglossus
Limana limanda
Microstomus kitt
Platchthys flesus
Pleuronectes platessa
