Sample_ID,extraction_ID,pcr_replicate,miseq_run,alternative_ID,collection_year,collection_month,collection_day,location1,location2,time_of_day,longitude,latitude,sample_type,depth,project,extraction_by,extraction_date,plate_or_vial,extraction_plate,extraction_well
e00611_A,e00611,A,20240423,NW21_2-10,2021,8,30,2,Northern Bering Sea,08202017 20:15:42.489,60.0014,-169.0017,sample,10,NBS,MP,2022_02_23,plate,1_2022,A01
e00612_A,e00612,A,20240423,NW21_2-10,2021,8,30,2,Northern Bering Sea,08202017 20:15:42.489,60.0014,-169.0017,sample,10,NBS,MP,2022_02_23,plate,1_2022,B01
e00613_A,e00613,A,20240423,NW21_2-10,2021,8,30,2,Northern Bering Sea,08202017 20:15:42.489,60.0014,-169.0017,sample,10,NBS,MP,2022_02_23,plate,1_2022,C01
e00614_A,e00614,A,20240423,NW21_5-40,2021,8,31,5,Northern Bering Sea,08312021 20:39:34.703,60.5,-170.9946,sample,40,NBS,MP,2022_02_23,plate,1_2022,D01
e00615_A,e00615,A,20240423,NW21_5-40,2021,8,31,5,Northern Bering Sea,08312021 20:39:34.703,60.5,-170.9946,sample,40,NBS,MP,2022_02_23,plate,1_2022,E01
e00616_A,e00616,A,20240423,NW21_5-40,2021,8,31,5,Northern Bering Sea,08312021 20:39:34.703,60.5,-170.9946,sample,40,NBS,MP,2022_02_23,plate,1_2022,F01
e00617_A,e00617,A,20240423,NW21_5-10,2021,8,31,5,Northern Bering Sea,08312021 20:39:34.703,60.5,-170.9946,sample,10,NBS,MP,2022_02_23,plate,1_2022,G01
e00618_A,e00618,A,20240423,NW21_5-10,2021,8,31,5,Northern Bering Sea,08312021 20:39:34.703,60.5,-170.9946,sample,10,NBS,MP,2022_02_23,plate,1_2022,H01
e00619_A,e00619,A,20240423,NW21_5-10,2021,8,31,5,Northern Bering Sea,08312021 20:39:34.703,60.5,-170.9946,sample,10,NBS,MP,2022_02_23,plate,1_2022,A02
e00620_A,e00620,A,20240423,NW21_5b,2021,8,31,5,Northern Bering Sea,08312021 20:39:34.703,60.5,-170.9946,field_blank,NA,NBS,MP,2022_02_23,plate,1_2022,B02
e00621_A,e00621,A,20240423,NW21_8-10,2021,9,1,8,Northern Bering Sea,09012021 20:17:53.075,60.4995,-168.0016,sample,10,NBS,MP,2022_02_23,plate,1_2022,C02
e00622_A,e00622,A,20240423,NW21_8-10,2021,9,1,8,Northern Bering Sea,09012021 20:17:53.075,60.4995,-168.0016,sample,10,NBS,MP,2022_02_23,plate,1_2022,D02
e00623_A,e00623,A,20240423,NW21_8-10,2021,9,1,8,Northern Bering Sea,09012021 20:17:53.075,60.4995,-168.0016,sample,10,NBS,MP,2022_02_23,plate,1_2022,E02
e00624_A,e00624,A,20240423,NW21_8b,2021,9,1,8,Northern Bering Sea,09012021 20:17:53.075,60.4995,-168.0016,field_blank,NA,NBS,MP,2022_02_23,plate,1_2022,F02
e00625_A,e00625,A,20240423,NA,NA,NA,NA,NA,NA,NA,NA,NA,extraction_blank,NA,NBS,MP,2022_02_23,plate,1_2022,G02
e00626_A,e00626,A,20240423,NW21_11-10,2021,9,2,11,Northern Bering Sea,09022021 20:28:38.688,61.0025,-168.002,sample,10,NBS,MP,2022_02_23,plate,1_2022,H02
e00627_A,e00627,A,20240423,NW21_11-10,2021,9,2,11,Northern Bering Sea,09022021 20:28:38.688,61.0025,-168.002,sample,10,NBS,MP,2022_02_23,plate,1_2022,A03
e00628_A,e00628,A,20240423,NW21_11b,2021,9,2,11,Northern Bering Sea,09022021 20:28:38.688,61.0025,-168.002,field_blank,NA,NBS,MP,2022_02_23,plate,1_2022,B03
e00629_A,e00629,A,20240423,NW21_2b,2021,8,30,2,Northern Bering Sea,08202017 20:15:42.489,60.0014,-169.0017,field_blank,NA,NBS,MP,2022_02_23,plate,1_2022,C03
