sample	library	run	r1_file	r2_file	reads_raw_r1	reads_raw_r2	reads_primers_fwd	reads_primers_rvs	reads_filtered_fwd	reads_filtered_rvs	reads_merged	reads_tabled	reads_chimera_checked	reads_tax.length_filtered
e00611-A-20240423	e00611-A-20240423	1	e00611-A_S1_L001_R1_001.fastq.gz	e00611-A_S1_L001_R2_001.fastq.gz	9730	9730	9611	9611	3395	3395	3284	3284	3284	3284
e00611-B-20240423	e00611-B-20240423	1	e00611-B_S76_L001_R1_001.fastq.gz	e00611-B_S76_L001_R2_001.fastq.gz	86	86	86	86	76	76	33	33	33	33
e00611-C-20240423	e00611-C-20240423	1	e00611-C_S151_L001_R1_001.fastq.gz	e00611-C_S151_L001_R2_001.fastq.gz	242	242	238	238	16	16	6	6	6	6
e00612-A-20240423	e00612-A-20240423	1	e00612-A_S2_L001_R1_001.fastq.gz	e00612-A_S2_L001_R2_001.fastq.gz	13121	13121	12936	12936	3918	3918	3787	3787	3784	3784
e00612-B-20240423	e00612-B-20240423	1	e00612-B_S77_L001_R1_001.fastq.gz	e00612-B_S77_L001_R2_001.fastq.gz	16567	16567	16336	16336	2969	2969	2725	2725	2725	2725
e00612-C-20240423	e00612-C-20240423	1	e00612-C_S152_L001_R1_001.fastq.gz	e00612-C_S152_L001_R2_001.fastq.gz	307	307	302	302	50	50	27	27	27	27
e00613-A-20240423	e00613-A-20240423	1	e00613-A_S3_L001_R1_001.fastq.gz	e00613-A_S3_L001_R2_001.fastq.gz	17621	17621	17366	17366	4861	4861	4755	4755	4755	4755
e00613-B-20240423	e00613-B-20240423	1	e00613-B_S78_L001_R1_001.fastq.gz	e00613-B_S78_L001_R2_001.fastq.gz	17294	17294	17025	17025	3550	3550	3131	3131	3131	3131
e00613-C-20240423	e00613-C-20240423	1	e00613-C_S153_L001_R1_001.fastq.gz	e00613-C_S153_L001_R2_001.fastq.gz	14122	14122	13947	13947	4856	4856	4728	4728	4728	4728
e00614-A-20240423	e00614-A-20240423	1	e00614-A_S4_L001_R1_001.fastq.gz	e00614-A_S4_L001_R2_001.fastq.gz	19127	19127	18896	18896	17723	17723	17145	17145	16473	16473
e00614-B-20240423	e00614-B-20240423	1	e00614-B_S79_L001_R1_001.fastq.gz	e00614-B_S79_L001_R2_001.fastq.gz	19799	19799	19516	19516	16093	16093	15875	15875	15725	15725
e00614-C-20240423	e00614-C-20240423	1	e00614-C_S154_L001_R1_001.fastq.gz	e00614-C_S154_L001_R2_001.fastq.gz	17036	17036	16795	16795	11177	11177	10842	10842	10786	10786
e00615-A-20240423	e00615-A-20240423	1	e00615-A_S5_L001_R1_001.fastq.gz	e00615-A_S5_L001_R2_001.fastq.gz	18817	18817	18533	18533	7905	7905	7765	7765	7765	7765
e00615-B-20240423	e00615-B-20240423	1	e00615-B_S80_L001_R1_001.fastq.gz	e00615-B_S80_L001_R2_001.fastq.gz	23318	23318	22995	22995	16687	16687	16576	16576	16568	16568
e00615-C-20240423	e00615-C-20240423	1	e00615-C_S155_L001_R1_001.fastq.gz	e00615-C_S155_L001_R2_001.fastq.gz	18309	18309	18064	18064	17944	17944	17623	17623	16856	16856
