"","taxon","reads"
"1","Gadus chalcogrammus",2196790.771759
"2","Stichaeidae 1",1403036.417064
"3","Ammodytes hexapterus",1166223.880217
"4","Boreogadus saida",1164964
"5","Clupea pallasii",737877.2072937
"6","Anisarchus medius",406513.78932
"7","Lycodes polaris",335480
"8","Gadus",315143
"9","Pleuronectidae 1",257477
"10","Gymnocanthus tricuspis",219343
"11","Ammodytes personatus",164095.924053
"12","Mallotus villosus",162939.5
"13","Hexagrammos",123669
"14","Eleginus gracilis",123564
"15","Liparis tunicatus",109178
"16","Pleuronectes quadrituberculatus",93788
"17","Liparis",91716
"18","Myoxocephalus quadricornis",79359
"19","Lycodes palearis",75312
"20","Lycodes raridens",65667
"21","Pleuronectidae 2",64064
"22","Oncorhynchus keta",59162
"23","Gymnelus",51576
"24","Oncorhynchus kisutch",50496
"25","Gadus macrocephalus",48712
"26","Pholis laeta",45024
"27","Delphinapterus leucas",44379
"28","Stichaeus punctatus",38175
"29","Salvelinus",37805
"30","Myoxocephalus 1",36817
"31","Anoplarchus",31423
"32","Stichaeidae 2",28862
"33","Lepidopsetta",24784
"34","Bathymaster",23169
"35","Balaena mysticetus",21112
"36","Oligocottus maculosus",20751
"37","Liparis greeni",20069
"38","Aspidophoroides olrikii",19837
"39","Gasterosteus aculeatus",17445
"40","Hippoglossus stenolepis",17039
"41","Leptoclinus maculatus",16127
"42","Eschrichtius robustus",16089
"43","Triglops pingelii",14538
"44","Artedius lateralis",13798
"45","Cottus",13633
"46","Xiphister",13215
"47","Aptocyclus ventricosus",13124
"48","Artedius harringtoni",10740
"49","Gadidae",10708
"50","Blepsias bilobus",10170
"51","Oncorhynchus",9270
"52","Artedius fenestralis",8493
"53","Hemilepidotus",8456
"54","Clinocottus acuticeps",8358
"55","Cymatogaster aggregata",8145
"56","Hypomesus pretiosus",7865
"57","Hexagrammos decagrammus",6500
"58","Oncorhynchus gorbuscha",6141.25
"59","Hemilepidotus hemilepidotus",5180
"60","Odobenus rosmarus",5166
"61","Icelus",4972
"62","Pusa hispida",4961
"63","Lumpenus sagitta",4752
"64","Ammodytes",4695
"65","Sarritor frenatus",4661
"66","Pleuronectidae 3",4570
"67","Sebastes 1",4431
"68","Oncorhynchus tshawytscha",4106
"69","Trichodon trichodon",4065
"70","Lycodes",4057
"71","Sebastes diploproa",3421
"72","Megaptera novaeangliae",3376
"73","Sebastes 2",3223
"74","Oncorhynchus nerka",2601
"75","Reinhardtius hippoglossoides",2471
"76","Erignathus barbatus",2461
"77","Hypsagonus quadricornis",2181
"78","Balaenoptera physalus",2047
"79","Phocoena phocoena",1514
"80","Arctogadus glacialis",749
"81","Phoca",54
"82","Citharichthys sordidus",50
"83","Phoca fasciata",32
"84","Enophrys diceraus",21
"85","Balaenoptera acutorostrata",17
"86","Asterias amurensis",16
"87","Opisthocentrus ocellatus",16
"88","Allosmerus elongatus",12
"89","Sardinops",7
"90","Trachurus symmetricus",5
"91","Merluccius productus",4
"92","Oncorhynchus mykiss",4
"93","Engraulis mordax",3
"94","Spirinchus thaleichthys",3
"95","Acantholumpenus mackayi",0
"96","Agonidae",0
"97","Anarhichas",0
"98","Anoplopoma fimbria",0
"99","Artediellus",0
"100","Aspidophoroides monopterygius",0
"101","Atheresthes stomias",0
"102","Citharichthys stigmaeus",0
"103","Gymnocanthus pistilliger",0
"104","Hippoglossoides robustus",0
"105","Lagenorhynchus obliquidens",0
"106","Lethenteron camtschaticum",0
"107","Leuroglossus schmidti",0
"108","Limanda aspera",0
"109","Lycodes brevipes",0
"110","Osmerus mordax",0
"111","Pleurogrammus monopterygius",0
"112","Pleuronectidae 4",0
"113","Podothecus accipenserinus",0
"114","Pungitius pungitius",0
"115","Sebastes 3",0
"116","Sebastes 5",0
"117","Stenobrachius leucopsarus",0
"118","Syngnathus leptorhynchus",0
"119","Synthliboramphus antiquus",0
"120","Tarletonbeania crenularis",0
"121","Thaleichthys pacificus",0
"122","Uria aalge",0
"123","Zaprora silenus",0
"124",NA,NA
