"","taxon","reads"
"1","Stichaeidae 1",676008.197
"2","Boreogadus saida",662311
"3","Ammodytes hexapterus",604603.802664
"4","Gadus chalcogrammus",483446.300474
"5","Anisarchus medius",280103.12692
"6","Lycodes polaris",252075
"7","Gymnocanthus tricuspis",126493
"8","Mallotus villosus",107330
"9","Pleuronectidae 1",105336
"10","Gadus",73595
"11","Eleginus gracilis",70450
"12","Clupea pallasii",61699.9707577
"13","Lycodes raridens",54302
"14","Lycodes palearis",50950
"15","Myoxocephalus quadricornis",43012
"16","Liparis tunicatus",42386
"17","Delphinapterus leucas",36619
"18","Liparis",34494
"19","Gymnelus",29244
"20","Hippoglossus stenolepis",14424
"21","Stichaeus punctatus",12177
"22","Triglops pingelii",10943
"23","Pleuronectidae 2",5904
"24","Myoxocephalus 1",5438
"25","Icelus",4972
"26","Odobenus rosmarus",4456
"27","Pusa hispida",4016
"28","Leptoclinus maculatus",2779
"29","Eschrichtius robustus",2681
"30","Reinhardtius hippoglossoides",2471
"31","Gadidae",2402
"32","Erignathus barbatus",1967
"33","Megaptera novaeangliae",1569
"34","Balaena mysticetus",1147
"35","Hexagrammos",294
"36","Oncorhynchus nerka",267
"37","Ammodytes personatus",223.131674
"38","Pleuronectes quadrituberculatus",166
"39","Phocoena phocoena",131
"40","Oncorhynchus kisutch",88
"41","Salvelinus",87
"42","Stichaeidae 2",81
"43","Lepidopsetta",77
"44","Pleuronectidae 3",34
"45","Hemilepidotus",33
"46","Phoca fasciata",32
"47","Liparis greeni",24
"48","Citharichthys sordidus",23
"49","Pholis laeta",23
"50","Oncorhynchus keta",19
"51","Asterias amurensis",16
"52","Opisthocentrus ocellatus",16
"53","Cymatogaster aggregata",12
"54","Hexagrammos decagrammus",10
"55","Artedius fenestralis",8
"56","Clinocottus acuticeps",8
"57","Oligocottus maculosus",7
"58","Sardinops",7
"59","Allosmerus elongatus",4
"60","Merluccius productus",4
"61","Oncorhynchus mykiss",4
"62","Trachurus symmetricus",2
