"","taxon","reads"
"1","Gadus chalcogrammus",679123.591800942
"2","Clupea pallasii",267137.5
"3","Oncorhynchus tshawytscha",255212
"4","Oncorhynchus keta",166221
"5","Oncorhynchus gorbuscha",66316.5
"6","Oncorhynchus kisutch",58371
"7","Oncorhynchus",54918
"8","Gadus",50948.6666666667
"9","Oncorhynchus nerka",49149.1952817825
"10","Ammodytes personatus",42913
"11","Pleuronectidae 1",30957
"12","Osmerus mordax",18289
"13","Mallotus villosus",14055
"14","Pleuronectes quadrituberculatus",9169
"15","Stichaeidae 1",7557
"16","Sebastes 2",5599
"17","Gasterosteus aculeatus",2592
"18","Eleginus gracilis",2311
"19","Citharichthys stigmaeus",1664
"20","Pleuronectidae 2",1620
"21","Sebastes 5",1441
"22","Myoxocephalus 1",1277
"23","Cottus",1143
"24","Sebastes 1",985
"25","Pungitius pungitius",908
"26","Arctogadus glacialis",805
"27","Gadus macrocephalus",768
"28","Acantholumpenus mackayi",762
"29","Gadidae",704
"30","Anoplarchus",664
"31","Lycodes palearis",630
"32","Agonidae",475
"33","Salvelinus",400
"34","Hexagrammos",385
"35","Ammodytes hexapterus",377
"36","Ammodytes",290
"37","Myoxocephalus quadricornis",228
"38","Thaleichthys pacificus",168
"39","Syngnathus leptorhynchus",132
"40","Lethenteron camtschaticum",16
