"","taxon","reads"
"1","Gadus chalcogrammus",4080377.365
"2","Gadus",281486.0117
"3","Pleuronectidae 1",224347
"4","Oncorhynchus nerka",122980.274
"5","Myoxocephalus 1",111299
"6","Oncorhynchus keta",97154.5
"7","Pleurogrammus monopterygius",45073
"8","Asterias amurensis",39705
"9","Clupea pallasii",36797.3375
"10","Oncorhynchus kisutch",32394
"11","Mallotus villosus",30748.5
"12","Lepidopsetta",27235
"13","Pleuronectes quadrituberculatus",23904
"14","Ammodytes personatus",21528.86
"15","Oncorhynchus gorbuscha",19711
"16","Oncorhynchus tshawytscha",15940
"17","Blepsias bilobus",11583
"18","Gasterosteus aculeatus",9776
"19","Gadus macrocephalus",9429
"20","Boreogadus saida",7990
"21","Cymatogaster aggregata",6376
"22","Sebastes 3",6321
"23","Pholis laeta",4957
"24","Myoxocephalus quadricornis",4678
"25","Oncorhynchus",3868
"26","Tarletonbeania crenularis",3840
"27","Gadidae",3061
"28","Podothecus accipenserinus",3028
"29","Atheresthes stomias",2150
"30","Anoplopoma fimbria",1913
"31","Lycodes brevipes",1845
"32","Citharichthys stigmaeus",1679
"33","Zaprora silenus",875
"34","Phocoena phocoena",863
"35","Ammodytes hexapterus",778.46604
"36","Pleuronectidae 2",640
"37","Stichaeidae 1",592.88625
"38","Lycodes polaris",262
"39","Limanda aspera",174
"40","Anisarchus medius",171
"41","Hippoglossoides robustus",162
"42","Gymnocanthus tricuspis",112
"43","Liparis tunicatus",73
"44","Stichaeidae 2",60
"45","Salvelinus",48.5
"46","Hexagrammos",35
"47","Gymnelus",33
"48","Eleginus gracilis",16
"49","Lycodes raridens",15
"50","Lagenorhynchus obliquidens",12
"51","Aspidophoroides olrikii",10
"52","Phoca fasciata",9
"53","Anoplarchus",7
"54","Acantholumpenus mackayi",0
"55","Agonidae",0
"56","Allosmerus elongatus",0
"57","Ammodytes",0
"58","Anarhichas",0
"59","Aptocyclus ventricosus",0
"60","Arctogadus glacialis",0
"61","Artediellus",0
"62","Artedius fenestralis",0
"63","Artedius harringtoni",0
"64","Artedius lateralis",0
"65","Aspidophoroides monopterygius",0
"66","Balaena mysticetus",0
"67","Balaenoptera acutorostrata",0
"68","Balaenoptera physalus",0
"69","Bathymaster",0
"70","Citharichthys sordidus",0
"71","Clinocottus acuticeps",0
"72","Cottus",0
"73","Delphinapterus leucas",0
"74","Engraulis mordax",0
"75","Enophrys diceraus",0
"76","Erignathus barbatus",0
"77","Eschrichtius robustus",0
"78","Gymnocanthus pistilliger",0
"79","Hemilepidotus",0
"80","Hemilepidotus hemilepidotus",0
"81","Hexagrammos decagrammus",0
"82","Hippoglossus stenolepis",0
"83","Hypomesus pretiosus",0
"84","Hypsagonus quadricornis",0
"85","Icelus",0
"86","Leptoclinus maculatus",0
"87","Lethenteron camtschaticum",0
"88","Leuroglossus schmidti",0
"89","Liparis",0
"90","Liparis greeni",0
"91","Lumpenus sagitta",0
"92","Lycodes",0
"93","Lycodes palearis",0
"94","Megaptera novaeangliae",0
"95","Merluccius productus",0
"96","Odobenus rosmarus",0
"97","Oligocottus maculosus",0
"98","Oncorhynchus mykiss",0
"99","Opisthocentrus ocellatus",0
"100","Osmerus mordax",0
"101","Phoca",0
"102","Pleuronectidae 3",0
"103","Pleuronectidae 4",0
"104","Pungitius pungitius",0
"105","Pusa hispida",0
"106","Reinhardtius hippoglossoides",0
"107","Sardinops",0
"108","Sarritor frenatus",0
"109","Sebastes 1",0
"110","Sebastes 2",0
"111","Sebastes 5",0
"112","Sebastes diploproa",0
"113","Spirinchus thaleichthys",0
"114","Stenobrachius leucopsarus",0
"115","Stichaeus punctatus",0
"116","Syngnathus leptorhynchus",0
"117","Synthliboramphus antiquus",0
"118","Thaleichthys pacificus",0
"119","Trachurus symmetricus",0
"120","Trichodon trichodon",0
"121","Triglops pingelii",0
"122","Uria aalge",0
"123","Xiphister",0
