"","taxon","reads"
"1","Clupea pallasii",2261589.280747
"2","Pleuronectidae 1",693173.675587
"3","Gadus",506280.678366667
"4","Oncorhynchus",351870
"5","Osmerus mordax",156543
"6","Myoxocephalus 1",130771
"7","Stichaeidae 1",91786.88625
"8","Asterias amurensis",44241
"9","Lepidopsetta",35189
"10","Acantholumpenus mackayi",30557
"11","Pleuronectidae 2",19008
"12","Lycodes palearis",13845
"13","Gadidae",10449
"14","Boreogadus saida",7990
"15","Cymatogaster aggregata",6376
"16","Sebastes 3",6321
"17","Sebastes 2",5599
"18","Pholis laeta",4957
"19","Myoxocephalus quadricornis",4906
"20","Tarletonbeania crenularis",3845
"21","Citharichthys stigmaeus",3343
"22","Podothecus accipenserinus",3285
"23","Anisarchus medius",3111
"24","Pleuronectidae 4",2851
"25","Cottus",2674
"26","Arctogadus glacialis",2251
"27","Atheresthes stomias",2224
"28","Lycodes brevipes",1845
"29","Sebastes 1",1576
"30","Sebastes 5",1441
"31","Phocoena phocoena",1405
"32","Anoplarchus",671
"33","Stichaeus punctatus",499
"34","Agonidae",475
"35","Salvelinus",448.5
"36","Hexagrammos",420
"37","Stichaeidae 2",389
"38","Gymnocanthus pistilliger",345
"39","Aspidophoroides monopterygius",318
"40","Aspidophoroides olrikii",302
"41","Ammodytes",296
"42","Lycodes polaris",262
"43","Anarhichas",235
"44","Balaenoptera physalus",226
"45","Thaleichthys pacificus",168
"46","Hippoglossoides robustus",162
"47","Delphinapterus leucas",151
"48","Leuroglossus schmidti",151
"49","Syngnathus leptorhynchus",132
"50","Artediellus",123
"51","Gymnocanthus tricuspis",112
"52","Liparis tunicatus",73
"53","Liparis",72
"54","Gymnelus",33
"55","Hexagrammos decagrammus",27.33333
"56","Lycodes raridens",15
"57","Synthliboramphus antiquus",13
"58","Lagenorhynchus obliquidens",12
"59","Phoca fasciata",9
"60","Stenobrachius leucopsarus",9
"61","Uria aalge",4
