"","project","collection_year","location1","depth","longitude","latitude"
"1","NBS",2021,"2","10",-169.002,60.0014
"4","NBS",2021,"5","40",-170.995,60.5
"7","NBS",2021,"5","10",-170.995,60.5
"10","NBS",2021,"8","10",-168.002,60.4995
"13","NBS",2021,"11","10",-168.002,61.0025
"15","NBS",2021,"17","10",-168.999,61.5004
"18","NBS",2021,"20","10",-167,62.0006
"21","NBS",2021,"23","40",-170,62.0002
"24","NBS",2021,"23","10",-170,62.0002
"27","NBS",2021,"26","10",-169.995,62.4999
"30","NBS",2021,"29","10",-166.996,62.4995
"33","NBS",2021,"32","10",-170,62.0002
"36","NBS",2021,"35","10",-169.001,64.0006
"39","NBS",2021,"38","10",-167.504,65.0022
"42","NBS",2021,"40","10",-168.001,64.5
"45","NBS",2021,"43","10",-166.001,64.0003
"48","NBS",2021,"46","10",-162.499,64.1004
"51","NBS",2021,"14","10",-171.007,60.9997
"54","NBS",2021,"14","50",-171.007,60.9997
"57","NBS",2022,"31","0",-168.996,63.9993
"60","NBS",2022,"34","0",-167.002,64.5003
"63","NBS",2022,"37","0",-166,63.9979
"66","NBS",2022,"40","0",-164.501,64.1013
"68","NBS",2022,"4","0",-169.996,60.4974
"71","NBS",2022,"5","0",-169.009,60.5061
"74","NBS",2022,"7","0",-166.998,60.5004
"77","NBS",2022,"10","0",-169,61.0004
"79","NBS",2022,"13","0",-168.999,61.4996
"82","NBS",2022,"16","0",-166.998,61.9989
"86","NBS",2022,"25","0",-168.002,62.5009
"87","NBS",2022,"28","0",-166.99,63.5016
"90","NBS",2022,"21","0",-170,62.4997
"95","NBS",2022,"18","0",-169.003,62.0011
"99","SBS",2022,"16","0",-164.03,57.4752
"102","SBS",2022,"18","10",-165.049,58.0267
"105","SBS",2022,"19","bottom",-166.032,57.5235
"107","SBS",2022,"19","10",-166.032,57.5235
"109","SBS",2022,"24","10",-168.033,57.4904
"112","SBS",2022,"24","bottom",-168.033,57.4904
"114","SBS",2022,"20","10",-167.037,57.0301
"117","SBS",2022,"20","bottom",-167.037,57.0301
"119","SBS",2022,"23","10",-169.096,57.0151
"121","SBS",2022,"23","bottom",-169.096,57.0151
"124","SBS",2022,"37","10",-169.014,58.9894
"128","SBS",2022,"37","bottom",-169.039,58.9852
"131","SBS",2022,"35","10",-170.005,58.5083
"134","SBS",2022,"35","bottom",-170.005,58.5083
"137","SBS",2022,"32","10",-171.019,57.9994
"140","SBS",2022,"32","bottom",-171.019,57.9994
"143","SBS",2022,"6","10",-163.049,56.9814
"146","SBS",2022,"10","10",-165.01,56.0022
"149","SBS",2022,"14","10",-164.956,57.0229
"152","SBS",2022,"3","10",-163.002,55.9816
"155","SBS",2022,"11","10",-165.998,56.4869
"158","SBS",2022,"8","10",-164.017,56.5743
"161","SBS",2022,"5","10",-162.029,56.5031
"164","SBS",2022,"26","10",-167.086,57.9838
"167","SBS",2022,"26","bottom",-167.086,57.9838
"170","SBS",2022,"28","bottom",-168.038,58.4862
"173","SBS",2022,"28","10",-168.038,58.4862
"176","SBS",2022,"29","10",-168.974,58.0098
"179","SBS",2022,"29","bottom",-168.974,58.0098
"182","SBS",2022,"31","bottom",-170.032,57.5049
"185","SBS",2022,"31","10",-170.032,57.5049
"188","SBS",2022,"1","10",-163.809,55.5299
"189","SBS",2022,"23","10",-169.006,57.0238
"193","NBS",2023,"2","10",-168.963,60
"196","NBS",2023,"3","10",-169.953,60.0022
"199","NBS",2023,"4","10",-171.013,60.0016
"202","NBS",2023,"4","60",-171.013,60.0016
"205","NBS",2023,"5","10",NA,NA
"208","NBS",2023,"5","50",NA,NA
"211","NBS",2023,"6","10",-170.005,60.5008
"214","NBS",2023,"7","10",-169.007,60.4941
"217","NBS",2023,"8","10",-168.017,60.4988
"220","NBS",2023,"9","10",-167.032,60.4961
"223","NBS",2023,"10","10",-166.986,60.9987
"226","NBS",2023,"11","10",-167.976,60.9978
"229","NBS",2023,"12","10",-168.979,60.9993
"232","NBS",2023,"13","10",-169.987,60.9995
"235","NBS",2023,"13","30",-169.987,60.9995
"238","NBS",2023,"14","10",-171.006,60.9975
"241","NBS",2023,"15","10",-170.999,61.4923
"244","NBS",2023,"15","40",-170.999,61.4923
"247","NBS",2023,"16","10",-170.029,61.4993
"250","NBS",2023,"17","10",-169.02,61.497
"253","NBS",2023,"18","10",-168.024,61.4993
"256","NBS",2023,"19","10",-167.014,61.499
"259","NBS",2023,"20","10",-167.009,61.9976
"262","NBS",2023,"21","10",-167.98,61.9988
"265","NBS",2023,"22","10",-168.995,62.0002
"268","NBS",2023,"23","10",-169.997,61.9954
"271","NBS",2023,"23","30",-169.997,61.9954
"274","NBS",2023,"24","10",-170.991,61.986
"277","NBS",2023,"24","40",-170.991,61.986
"280","NBS",2023,"25","10",-171.018,62.4921
"283","NBS",2023,"25","30",-171.018,62.4921
"286","NBS",2023,"26","10",-169.972,62.4793
"289","NBS",2023,"27","10",-169.01,62.4918
"292","NBS",2023,"28","10",-168.009,62.475
"295","NBS",2023,"30","10",-167.039,62.9953
"298","NBS",2023,"31","10",-166.026,62.9859
"301","NBS",2023,"32","10",-165.964,63.5049
"304","NBS",2023,"34","10",-167.967,63.4995
"307","NBS",2023,"35","10",-166.981,64
"310","NBS",2023,"36","10",-167.975,63.9995
"313","NBS",2023,"37","10",-168.984,63.9995
"316","NBS",2023,"38","10",-169.02,64.5026
"319","NBS",2023,"39","10",-168.035,64.4968
"322","NBS",2023,"40","10",-167.507,64.9924
"325","NBS",2023,"41","10",-167.013,64.5085
"328","NBS",2023,"43","10",-166.008,64.0058
"331","NBS",2023,"44","10",-162.487,64.0996
"334","NBS",2023,"45","10",-163.472,64.0991
"337","NBS",2023,"46","10",-164.488,64.0986
