qseqid,taxonomic_level,taxon,species,genus,family,order,class,phylum,kingdom,seq_percID,top_perc,diff
ASV_0237,genus,Icelus,Icelus bicornis,Icelus,Cottidae,Perciformes,Actinopteri,Chordata,Eukaryota,100,100,0
ASV_0237,genus,Icelus,Icelus spatula,Icelus,Cottidae,Perciformes,Actinopteri,Chordata,Eukaryota,100,100,0
ASV_0252,species,Myoxocephalus quadricornis,Myoxocephalus quadricornis,Myoxocephalus,Cottidae,Perciformes,Actinopteri,Chordata,Eukaryota,99.408,99.408,0
ASV_0295,species,Myoxocephalus quadricornis,Myoxocephalus quadricornis,Myoxocephalus,Cottidae,Perciformes,Actinopteri,Chordata,Eukaryota,99.408,99.408,0
ASV_1568,species,Myoxocephalus quadricornis,Myoxocephalus quadricornis,Myoxocephalus,Cottidae,Perciformes,Actinopteri,Chordata,Eukaryota,99.401,99.401,0
ASV_0027,genus,Myoxocephalus 1,Myoxocephalus jaok,Myoxocephalus,Cottidae,Perciformes,Actinopteri,Chordata,Eukaryota,100,100,0
ASV_0027,genus,Myoxocephalus 1,Myoxocephalus polyacanthocephalus,Myoxocephalus,Cottidae,Perciformes,Actinopteri,Chordata,Eukaryota,100,100,0
ASV_0027,genus,Myoxocephalus 1,Myoxocephalus stelleri,Myoxocephalus,Cottidae,Perciformes,Actinopteri,Chordata,Eukaryota,100,100,0
ASV_0035,species,Myoxocephalus quadricornis,Myoxocephalus quadricornis,Myoxocephalus,Cottidae,Perciformes,Actinopteri,Chordata,Eukaryota,100,100,0
ASV_0139,genus,Myoxocephalus 1,Myoxocephalus jaok,Myoxocephalus,Cottidae,Perciformes,Actinopteri,Chordata,Eukaryota,99.408,99.408,0
ASV_0139,genus,Myoxocephalus 1,Myoxocephalus polyacanthocephalus,Myoxocephalus,Cottidae,Perciformes,Actinopteri,Chordata,Eukaryota,99.408,99.408,0
ASV_0139,genus,Myoxocephalus 1,Myoxocephalus stelleri,Myoxocephalus,Cottidae,Perciformes,Actinopteri,Chordata,Eukaryota,99.408,99.408,0
ASV_0153,genus,Hemilepidotus,Hemilepidotus jordani,Hemilepidotus,Cottidae,Perciformes,Actinopteri,Chordata,Eukaryota,100,100,0
ASV_0153,genus,Hemilepidotus,Hemilepidotus papilio,Hemilepidotus,Cottidae,Perciformes,Actinopteri,Chordata,Eukaryota,100,100,0
ASV_0177,genus,Myoxocephalus 1,Myoxocephalus jaok,Myoxocephalus,Cottidae,Perciformes,Actinopteri,Chordata,Eukaryota,99.408,99.408,0
ASV_0177,genus,Myoxocephalus 1,Myoxocephalus polyacanthocephalus,Myoxocephalus,Cottidae,Perciformes,Actinopteri,Chordata,Eukaryota,99.408,99.408,0
ASV_0177,genus,Myoxocephalus 1,Myoxocephalus stelleri,Myoxocephalus,Cottidae,Perciformes,Actinopteri,Chordata,Eukaryota,99.408,99.408,0
ASV_0271,genus,Myoxocephalus 1,Myoxocephalus jaok,Myoxocephalus,Cottidae,Perciformes,Actinopteri,Chordata,Eukaryota,99.408,99.408,0
