qseqid,taxon,taxonomic_level,species,genus,family,order,class,phylum,kingdom,seq_percID,id_rank,top_perc,diff
ASV_0004,Stichaeidae 1,family,Leptoclinus maculatus,Leptoclinus,Stichaeidae,Perciformes,Actinopteri,Chordata,Eukaryota,100,1,100,0
ASV_0004,Stichaeidae 1,family,Lumpenus fabricii,Lumpenus,Stichaeidae,Perciformes,Actinopteri,Chordata,Eukaryota,100,1,100,0
ASV_0065,Stichaeidae 1,family,Leptoclinus maculatus,Leptoclinus,Stichaeidae,Perciformes,Actinopteri,Chordata,Eukaryota,99.408,1,99.408,0
ASV_0065,Stichaeidae 1,family,Lumpenus fabricii,Lumpenus,Stichaeidae,Perciformes,Actinopteri,Chordata,Eukaryota,99.408,1,99.408,0
ASV_0087,Stichaeidae 2,family,Eumesogrammus praecisus,Eumesogrammus,Stichaeidae,Perciformes,Actinopteri,Chordata,Eukaryota,100,1,100,0
ASV_0087,Stichaeidae 2,family,Opisthocentrus ocellatus,Opisthocentrus,Stichaeidae,Perciformes,Actinopteri,Chordata,Eukaryota,100,1,100,0
ASV_0122,Stichaeidae 2,family,Eumesogrammus praecisus,Eumesogrammus,Stichaeidae,Perciformes,Actinopteri,Chordata,Eukaryota,100,1,100,0
ASV_0122,Stichaeidae 2,family,Opisthocentrus ocellatus,Opisthocentrus,Stichaeidae,Perciformes,Actinopteri,Chordata,Eukaryota,100,1,100,0
ASV_0152,Stichaeidae 1,family,Leptoclinus maculatus,Leptoclinus,Stichaeidae,Perciformes,Actinopteri,Chordata,Eukaryota,99.408,1,99.408,0
ASV_0152,Stichaeidae 1,family,Lumpenus fabricii,Lumpenus,Stichaeidae,Perciformes,Actinopteri,Chordata,Eukaryota,99.408,1,99.408,0
ASV_0183,Stichaeidae 1,family,Leptoclinus maculatus,Leptoclinus,Stichaeidae,Perciformes,Actinopteri,Chordata,Eukaryota,99.408,1,99.408,0
ASV_0183,Stichaeidae 1,family,Lumpenus fabricii,Lumpenus,Stichaeidae,Perciformes,Actinopteri,Chordata,Eukaryota,99.408,1,99.408,0
ASV_0210,Stichaeidae 1,family,Leptoclinus maculatus,Leptoclinus,Stichaeidae,Perciformes,Actinopteri,Chordata,Eukaryota,99.408,1,99.408,0
ASV_0210,Stichaeidae 1,family,Lumpenus fabricii,Lumpenus,Stichaeidae,Perciformes,Actinopteri,Chordata,Eukaryota,99.408,1,99.408,0
ASV_0240,Agonidae 1,family,Leptagonus decagonus,Leptagonus,Agonidae,Perciformes,Actinopteri,Chordata,Eukaryota,100,1,100,0
ASV_0240,Agonidae 1,family,Sarritor frenatus,Sarritor,Agonidae,Perciformes,Actinopteri,Chordata,Eukaryota,100,1,100,0
ASV_0243,Stichaeidae 1,family,Leptoclinus maculatus,Leptoclinus,Stichaeidae,Perciformes,Actinopteri,Chordata,Eukaryota,99.408,1,99.408,0
ASV_0243,Stichaeidae 1,family,Lumpenus fabricii,Lumpenus,Stichaeidae,Perciformes,Actinopteri,Chordata,Eukaryota,99.408,1,99.408,0
ASV_0247,Stichaeidae 1,family,Leptoclinus maculatus,Leptoclinus,Stichaeidae,Perciformes,Actinopteri,Chordata,Eukaryota,99.408,1,99.408,0
ASV_0247,Stichaeidae 1,family,Lumpenus fabricii,Lumpenus,Stichaeidae,Perciformes,Actinopteri,Chordata,Eukaryota,99.408,1,99.408,0
ASV_0349,Stichaeidae 1,family,Leptoclinus maculatus,Leptoclinus,Stichaeidae,Perciformes,Actinopteri,Chordata,Eukaryota,100,1,100,0
ASV_0349,Stichaeidae 1,family,Lumpenus fabricii,Lumpenus,Stichaeidae,Perciformes,Actinopteri,Chordata,Eukaryota,100,1,100,0
ASV_0392,Stichaeidae 1,family,Leptoclinus maculatus,Leptoclinus,Stichaeidae,Perciformes,Actinopteri,Chordata,Eukaryota,99.408,1,99.408,0
ASV_0392,Stichaeidae 1,family,Lumpenus fabricii,Lumpenus,Stichaeidae,Perciformes,Actinopteri,Chordata,Eukaryota,99.408,1,99.408,0
ASV_0433,Stichaeidae 1,family,Leptoclinus maculatus,Leptoclinus,Stichaeidae,Perciformes,Actinopteri,Chordata,Eukaryota,99.408,1,99.408,0
ASV_0433,Stichaeidae 1,family,Lumpenus fabricii,Lumpenus,Stichaeidae,Perciformes,Actinopteri,Chordata,Eukaryota,99.408,1,99.408,0
ASV_0603,Stichaeidae 1,family,Leptoclinus maculatus,Leptoclinus,Stichaeidae,Perciformes,Actinopteri,Chordata,Eukaryota,99.408,1,99.408,0
ASV_0603,Stichaeidae 1,family,Lumpenus fabricii,Lumpenus,Stichaeidae,Perciformes,Actinopteri,Chordata,Eukaryota,99.408,1,99.408,0
ASV_0653,Stichaeidae 1,family,Leptoclinus maculatus,Leptoclinus,Stichaeidae,Perciformes,Actinopteri,Chordata,Eukaryota,100,1,100,0
ASV_0653,Stichaeidae 1,family,Lumpenus fabricii,Lumpenus,Stichaeidae,Perciformes,Actinopteri,Chordata,Eukaryota,100,1,100,0
ASV_0663,Agonidae 2,family,Chesnonia verrucosa,Chesnonia,Agonidae,Perciformes,Actinopteri,Chordata,Eukaryota,100,1,100,0
ASV_0663,Agonidae 2,family,Occella dodecaedron,Occella,Agonidae,Perciformes,Actinopteri,Chordata,Eukaryota,100,1,100,0
ASV_0699,Stichaeidae 1,family,Leptoclinus maculatus,Leptoclinus,Stichaeidae,Perciformes,Actinopteri,Chordata,Eukaryota,99.408,1,99.408,0
ASV_0699,Stichaeidae 1,family,Lumpenus fabricii,Lumpenus,Stichaeidae,Perciformes,Actinopteri,Chordata,Eukaryota,99.408,1,99.408,0
ASV_0798,Stichaeidae 1,family,Leptoclinus maculatus,Leptoclinus,Stichaeidae,Perciformes,Actinopteri,Chordata,Eukaryota,99.408,1,99.408,0
ASV_0798,Stichaeidae 1,family,Lumpenus fabricii,Lumpenus,Stichaeidae,Perciformes,Actinopteri,Chordata,Eukaryota,99.408,1,99.408,0
ASV_0854,Stichaeidae 1,family,Leptoclinus maculatus,Leptoclinus,Stichaeidae,Perciformes,Actinopteri,Chordata,Eukaryota,99.408,1,99.408,0
ASV_0854,Stichaeidae 1,family,Lumpenus fabricii,Lumpenus,Stichaeidae,Perciformes,Actinopteri,Chordata,Eukaryota,99.408,1,99.408,0
ASV_0862,Stichaeidae 1,family,Leptoclinus maculatus,Leptoclinus,Stichaeidae,Perciformes,Actinopteri,Chordata,Eukaryota,98.817,1,98.817,0
ASV_0862,Stichaeidae 1,family,Lumpenus fabricii,Lumpenus,Stichaeidae,Perciformes,Actinopteri,Chordata,Eukaryota,98.817,1,98.817,0
ASV_0877,Stichaeidae 1,family,Leptoclinus maculatus,Leptoclinus,Stichaeidae,Perciformes,Actinopteri,Chordata,Eukaryota,99.405,1,99.405,0
ASV_0877,Stichaeidae 1,family,Lumpenus fabricii,Lumpenus,Stichaeidae,Perciformes,Actinopteri,Chordata,Eukaryota,99.405,1,99.405,0
ASV_0927,Stichaeidae 2,family,Eumesogrammus praecisus,Eumesogrammus,Stichaeidae,Perciformes,Actinopteri,Chordata,Eukaryota,99.408,1,99.408,0
ASV_0927,Stichaeidae 2,family,Opisthocentrus ocellatus,Opisthocentrus,Stichaeidae,Perciformes,Actinopteri,Chordata,Eukaryota,99.401,4,99.408,0.007
ASV_0997,Stichaeidae 1,family,Leptoclinus maculatus,Leptoclinus,Stichaeidae,Perciformes,Actinopteri,Chordata,Eukaryota,98.817,1,98.817,0
ASV_0997,Stichaeidae 1,family,Lumpenus fabricii,Lumpenus,Stichaeidae,Perciformes,Actinopteri,Chordata,Eukaryota,98.817,1,98.817,0
ASV_1094,Stichaeidae 1,family,Leptoclinus maculatus,Leptoclinus,Stichaeidae,Perciformes,Actinopteri,Chordata,Eukaryota,99.408,1,99.408,0
ASV_1094,Stichaeidae 1,family,Lumpenus fabricii,Lumpenus,Stichaeidae,Perciformes,Actinopteri,Chordata,Eukaryota,99.408,1,99.408,0
ASV_1105,Stichaeidae 1,family,Leptoclinus maculatus,Leptoclinus,Stichaeidae,Perciformes,Actinopteri,Chordata,Eukaryota,99.408,1,99.408,0
ASV_1105,Stichaeidae 1,family,Lumpenus fabricii,Lumpenus,Stichaeidae,Perciformes,Actinopteri,Chordata,Eukaryota,99.408,1,99.408,0
ASV_1134,Stichaeidae 1,family,Leptoclinus maculatus,Leptoclinus,Stichaeidae,Perciformes,Actinopteri,Chordata,Eukaryota,99.408,1,99.408,0
ASV_1134,Stichaeidae 1,family,Lumpenus fabricii,Lumpenus,Stichaeidae,Perciformes,Actinopteri,Chordata,Eukaryota,99.408,1,99.408,0
ASV_1245,Stichaeidae 1,family,Leptoclinus maculatus,Leptoclinus,Stichaeidae,Perciformes,Actinopteri,Chordata,Eukaryota,98.225,1,98.225,0
ASV_1245,Stichaeidae 1,family,Lumpenus fabricii,Lumpenus,Stichaeidae,Perciformes,Actinopteri,Chordata,Eukaryota,98.225,1,98.225,0
ASV_1287,Stichaeidae 1,family,Leptoclinus maculatus,Leptoclinus,Stichaeidae,Perciformes,Actinopteri,Chordata,Eukaryota,99.408,1,99.408,0
ASV_1287,Stichaeidae 1,family,Lumpenus fabricii,Lumpenus,Stichaeidae,Perciformes,Actinopteri,Chordata,Eukaryota,99.408,1,99.408,0
ASV_1441,Stichaeidae 1,family,Leptoclinus maculatus,Leptoclinus,Stichaeidae,Perciformes,Actinopteri,Chordata,Eukaryota,99.401,1,99.401,0
ASV_1441,Stichaeidae 1,family,Lumpenus fabricii,Lumpenus,Stichaeidae,Perciformes,Actinopteri,Chordata,Eukaryota,99.401,1,99.401,0
ASV_1520,Stichaeidae 1,family,Leptoclinus maculatus,Leptoclinus,Stichaeidae,Perciformes,Actinopteri,Chordata,Eukaryota,99.408,1,99.408,0
ASV_1520,Stichaeidae 1,family,Lumpenus fabricii,Lumpenus,Stichaeidae,Perciformes,Actinopteri,Chordata,Eukaryota,99.408,1,99.408,0
ASV_0030,Hexagrammos,genus,Hexagrammos lagocephalus,Hexagrammos,Hexagrammidae,Perciformes,Actinopteri,Chordata,Eukaryota,100,1,100,0
ASV_0030,Hexagrammos,genus,Hexagrammos octogrammus,Hexagrammos,Hexagrammidae,Perciformes,Actinopteri,Chordata,Eukaryota,100,1,100,0
ASV_0030,Hexagrammos,genus,Hexagrammos stelleri,Hexagrammos,Hexagrammidae,Perciformes,Actinopteri,Chordata,Eukaryota,100,1,100,0
ASV_0053,Liparis 1,genus,Liparis bathyarcticus,Liparis,Liparidae,Perciformes,Actinopteri,Chordata,Eukaryota,100,1,100,0
ASV_0053,Liparis 1,genus,Liparis gibbus,Liparis,Liparidae,Perciformes,Actinopteri,Chordata,Eukaryota,100,1,100,0
ASV_0053,Liparis 1,genus,Liparis ochotensis,Liparis,Liparidae,Perciformes,Actinopteri,Chordata,Eukaryota,100,1,100,0
ASV_0054,Gymnelus,genus,Gymnelus hemifasciatus,Gymnelus,Zoarcidae,Perciformes,Actinopteri,Chordata,Eukaryota,100,1,100,0
ASV_0054,Gymnelus,genus,Gymnelus viridis,Gymnelus,Zoarcidae,Perciformes,Actinopteri,Chordata,Eukaryota,100,1,100,0
ASV_0056,Liparis 1,genus,Liparis gibbus,Liparis,Liparidae,Perciformes,Actinopteri,Chordata,Eukaryota,100,1,100,0
ASV_0056,Liparis 1,genus,Liparis ochotensis,Liparis,Liparidae,Perciformes,Actinopteri,Chordata,Eukaryota,100,1,100,0
ASV_0060,Salvelinus,genus,Salvelinus alpinus,Salvelinus,Salmonidae,Salmoniformes,Actinopteri,Chordata,Eukaryota,100,1,100,0
ASV_0060,Salvelinus,genus,Salvelinus malma,Salvelinus,Salmonidae,Salmoniformes,Actinopteri,Chordata,Eukaryota,100,1,100,0
ASV_0068,Anoplarchus,genus,Anoplarchus insignis,Anoplarchus,Stichaeidae,Perciformes,Actinopteri,Chordata,Eukaryota,100,1,100,0
ASV_0068,Anoplarchus,genus,Anoplarchus purpurescens,Anoplarchus,Stichaeidae,Perciformes,Actinopteri,Chordata,Eukaryota,100,1,100,0
ASV_0107,Salvelinus,genus,Salvelinus alpinus,Salvelinus,Salmonidae,Salmoniformes,Actinopteri,Chordata,Eukaryota,99.412,1,99.412,0
ASV_0107,Salvelinus,genus,Salvelinus malma,Salvelinus,Salmonidae,Salmoniformes,Actinopteri,Chordata,Eukaryota,99.412,1,99.412,0
ASV_0111,Xiphister,genus,Xiphister atropurpureus,Xiphister,Stichaeidae,Perciformes,Actinopteri,Chordata,Eukaryota,100,1,100,0
ASV_0111,Xiphister,genus,Xiphister mucosus,Xiphister,Stichaeidae,Perciformes,Actinopteri,Chordata,Eukaryota,100,1,100,0
ASV_0163,Hexagrammos,genus,Hexagrammos lagocephalus,Hexagrammos,Hexagrammidae,Perciformes,Actinopteri,Chordata,Eukaryota,99.412,1,99.412,0
ASV_0163,Hexagrammos,genus,Hexagrammos octogrammus,Hexagrammos,Hexagrammidae,Perciformes,Actinopteri,Chordata,Eukaryota,99.412,1,99.412,0
ASV_0163,Hexagrammos,genus,Hexagrammos stelleri,Hexagrammos,Hexagrammidae,Perciformes,Actinopteri,Chordata,Eukaryota,99.412,1,99.412,0
ASV_0178,Hexagrammos,genus,Hexagrammos lagocephalus,Hexagrammos,Hexagrammidae,Perciformes,Actinopteri,Chordata,Eukaryota,99.412,1,99.412,0
ASV_0178,Hexagrammos,genus,Hexagrammos octogrammus,Hexagrammos,Hexagrammidae,Perciformes,Actinopteri,Chordata,Eukaryota,99.412,1,99.412,0
ASV_0178,Hexagrammos,genus,Hexagrammos stelleri,Hexagrammos,Hexagrammidae,Perciformes,Actinopteri,Chordata,Eukaryota,99.412,1,99.412,0
ASV_0191,Bathymaster,genus,Bathymaster leurolepis,Bathymaster,Bathymasteridae,Perciformes,Actinopteri,Chordata,Eukaryota,100,1,100,0
ASV_0191,Bathymaster,genus,Bathymaster signatus,Bathymaster,Bathymasteridae,Perciformes,Actinopteri,Chordata,Eukaryota,100,1,100,0
ASV_0194,Bathymaster,genus,Bathymaster leurolepis,Bathymaster,Bathymasteridae,Perciformes,Actinopteri,Chordata,Eukaryota,99.405,1,99.405,0
ASV_0194,Bathymaster,genus,Bathymaster signatus,Bathymaster,Bathymasteridae,Perciformes,Actinopteri,Chordata,Eukaryota,99.405,1,99.405,0
ASV_0202,Bathymaster,genus,Bathymaster leurolepis,Bathymaster,Bathymasteridae,Perciformes,Actinopteri,Chordata,Eukaryota,98.81,1,98.81,0
ASV_0202,Bathymaster,genus,Bathymaster signatus,Bathymaster,Bathymasteridae,Perciformes,Actinopteri,Chordata,Eukaryota,98.81,1,98.81,0
