year,station,time,stationid,speciestsn,commonname,scientificname,lhscode,samplingmethodcode,totalcatchnum,totalcatchwt,gearcode,eventcode,lme,masterstation,tow_type,gear_description,eqtime,eq_latitude,eq_longitude,haulback_time,haulback_latitude,haulback_longitude,speed,bottom_depth,avgnethorizontalopening,avgnetverticalopening,mwo,racecode,nodccode,notes,gearin_time,gearin_latitude,gearin_longitude,vessel,vesselname,gear_depth,gearout_latitude,gearout_longitude,gearout_time
2021,2,2021-08-20T21:20:00Z,20210201002,51669,Cyanea sp.,Cyanea sp.,U,NA,1,380,400601,4,Bering Sea,NA,S,"Can Trawl 400 headrope, 601 sidewalls",2021-08-20T20:50:00Z,59.99,-169.02,2021-08-20T21:20:00Z,59.99,-169.1,NA,41,50.5,14.5,330,40560,NA,NA,NA,0,0,NA,NA,NA,0,0,NA
2021,2,2021-08-20T21:20:00Z,20210201002,161976,Chum Salmon,Oncorhynchus keta,IM,NA,1,5920,400601,4,Bering Sea,NA,S,"Can Trawl 400 headrope, 601 sidewalls",2021-08-20T20:50:00Z,59.99,-169.02,2021-08-20T21:20:00Z,59.99,-169.1,NA,41,50.5,14.5,330,23235,8755010202,NA,NA,0,0,NA,NA,NA,0,0,NA
2021,2,2021-08-20T21:20:00Z,20210201002,161980,Chinook Salmon,Oncorhynchus tshawytscha,IM,NA,1,570,400601,4,Bering Sea,NA,S,"Can Trawl 400 headrope, 601 sidewalls",2021-08-20T20:50:00Z,59.99,-169.02,2021-08-20T21:20:00Z,59.99,-169.1,NA,41,50.5,14.5,330,23220,8755010206,NA,NA,0,0,NA,NA,NA,0,0,NA
2021,2,2021-08-20T21:20:00Z,20210201002,934083,Pollock,Gadus chalcogrammus,A0,NA,2489.39,1643,400601,4,Bering Sea,NA,S,"Can Trawl 400 headrope, 601 sidewalls",2021-08-20T20:50:00Z,59.99,-169.02,2021-08-20T21:20:00Z,59.99,-169.1,NA,41,50.5,14.5,330,21740,8791030701,NA,NA,0,0,NA,NA,NA,0,0,NA
2021,2,2021-08-20T21:20:00Z,20210201002,934083,Pollock,Gadus chalcogrammus,A1+,NA,2,1630,400601,4,Bering Sea,NA,S,"Can Trawl 400 headrope, 601 sidewalls",2021-08-20T20:50:00Z,59.99,-169.02,2021-08-20T21:20:00Z,59.99,-169.1,NA,41,50.5,14.5,330,21740,8791030701,NA,NA,0,0,NA,NA,NA,0,0,NA
2021,5,2021-08-31T21:47:00Z,20210201005,50623,Aequorea  sp.,Aequorea sp.,U,NA,1,200,400601,4,Bering Sea,NA,S,"Can Trawl 400 headrope, 601 sidewalls",2021-08-31T21:17:00Z,60.5,-170.96,2021-08-31T21:47:00Z,60.51,-170.9,NA,62,45.68,22.36,330,40506,NA,NA,NA,0,0,NA,NA,NA,0,0,NA
2021,5,2021-08-31T21:47:00Z,20210201005,161980,Chinook Salmon,Oncorhynchus tshawytscha,IM,NA,2,1650,400601,4,Bering Sea,NA,S,"Can Trawl 400 headrope, 601 sidewalls",2021-08-31T21:17:00Z,60.5,-170.96,2021-08-31T21:47:00Z,60.51,-170.9,NA,62,45.68,22.36,330,23220,8755010206,NA,NA,0,0,NA,NA,NA,0,0,NA
2021,5,2021-08-31T21:47:00Z,20210201005,166387,Nine-spine Stickleback,Pungitius pungitius,A0,NA,45,326,400601,4,Bering Sea,NA,S,"Can Trawl 400 headrope, 601 sidewalls",2021-08-31T21:17:00Z,60.5,-170.96,2021-08-31T21:47:00Z,60.51,-170.9,NA,62,45.68,22.36,330,21753,8818010201,NA,NA,0,0,NA,NA,NA,0,0,NA
2021,5,2021-08-31T21:47:00Z,20210201005,167123,Sablefish,Anoplopoma fimbria,A0,NA,1,7,400601,4,Bering Sea,NA,S,"Can Trawl 400 headrope, 601 sidewalls",2021-08-31T21:17:00Z,60.5,-170.96,2021-08-31T21:47:00Z,60.51,-170.9,NA,62,45.68,22.36,330,20510,8827020101,NA,NA,0,0,NA,NA,NA,0,0,NA
2021,5,2021-08-31T21:47:00Z,20210201005,551209,Pacific Herring,Clupea pallasi,U,NA,84.15,7490,400601,4,Bering Sea,NA,S,"Can Trawl 400 headrope, 601 sidewalls",2021-08-31T21:17:00Z,60.5,-170.96,2021-08-31T21:47:00Z,60.51,-170.9,NA,62,45.68,22.36,330,21110,8747010201,NA,NA,0,0,NA,NA,NA,0,0,NA
2021,5,2021-08-31T21:47:00Z,20210201005,934083,Pollock,Gadus chalcogrammus,A0,NA,6046.52,7033.7,400601,4,Bering Sea,NA,S,"Can Trawl 400 headrope, 601 sidewalls",2021-08-31T21:17:00Z,60.5,-170.96,2021-08-31T21:47:00Z,60.51,-170.9,NA,62,45.68,22.36,330,21740,8791030701,NA,NA,0,0,NA,NA,NA,0,0,NA
2021,8,2021-09-01T21:18:00Z,20210201008,161975,Pink Salmon,Oncorhynchus gorbuscha,J,NA,117.27,4380,400601,4,Bering Sea,NA,S,"Can Trawl 400 headrope, 601 sidewalls",2021-09-01T20:48:00Z,60.5,-167.97,2021-09-01T21:18:00Z,60.5,-167.91,NA,29,51.75,17.05,330,23230,8755010201,NA,NA,0,0,NA,NA,NA,0,0,NA
2021,8,2021-09-01T21:18:00Z,20210201008,161976,Chum Salmon,Oncorhynchus keta,J,NA,301.48,13360,400601,4,Bering Sea,NA,S,"Can Trawl 400 headrope, 601 sidewalls",2021-09-01T20:48:00Z,60.5,-167.97,2021-09-01T21:18:00Z,60.5,-167.91,NA,29,51.75,17.05,330,23235,8755010202,NA,NA,0,0,NA,NA,NA,0,0,NA
2021,8,2021-09-01T21:18:00Z,20210201008,161977,Coho Salmon,Oncorhynchus kisutch,J,NA,12,2578,400601,4,Bering Sea,NA,S,"Can Trawl 400 headrope, 601 sidewalls",2021-09-01T20:48:00Z,60.5,-167.97,2021-09-01T21:18:00Z,60.5,-167.91,NA,29,51.75,17.05,330,23225,8755010203,NA,NA,0,0,NA,NA,NA,0,0,NA
2021,8,2021-09-01T21:18:00Z,20210201008,166387,Nine-spine Stickleback,Pungitius pungitius,A0,NA,1,6,400601,4,Bering Sea,NA,S,"Can Trawl 400 headrope, 601 sidewalls",2021-09-01T20:48:00Z,60.5,-167.97,2021-09-01T21:18:00Z,60.5,-167.91,NA,29,51.75,17.05,330,21753,8818010201,NA,NA,0,0,NA,NA,NA,0,0,NA
2021,8,2021-09-01T21:18:00Z,20210201008,622287,Arctic Lamprey,Lethenteron camtschaticum,U,NA,2,63,400601,4,Bering Sea,NA,S,"Can Trawl 400 headrope, 601 sidewalls",2021-09-01T20:48:00Z,60.5,-167.97,2021-09-01T21:18:00Z,60.5,-167.91,NA,29,51.75,17.05,330,NA,8603010201,NA,NA,0,0,NA,NA,NA,0,0,NA
2021,8,2021-09-01T21:18:00Z,20210201008,934083,Pollock,Gadus chalcogrammus,A0,NA,421.4,1318,400601,4,Bering Sea,NA,S,"Can Trawl 400 headrope, 601 sidewalls",2021-09-01T20:48:00Z,60.5,-167.97,2021-09-01T21:18:00Z,60.5,-167.91,NA,29,51.75,17.05,330,21740,8791030701,NA,NA,0,0,NA,NA,NA,0,0,NA
2021,11,2021-09-02T21:28:00Z,20210201011,50513,Staurophora mertensi,Staurophora mertensi,U,NA,0,50,400601,4,Bering Sea,NA,S,"Can Trawl 400 headrope, 601 sidewalls",2021-09-02T20:58:00Z,61,-168.05,2021-09-02T21:28:00Z,61,-168.12,NA,29,49,17.9,330,NA,40562,NA,NA,0,0,NA,NA,NA,0,0,NA
2021,11,2021-09-02T21:28:00Z,20210201011,51669,Cyanea sp.,Cyanea sp.,U,NA,0,240,400601,4,Bering Sea,NA,S,"Can Trawl 400 headrope, 601 sidewalls",2021-09-02T20:58:00Z,61,-168.05,2021-09-02T21:28:00Z,61,-168.12,NA,29,49,17.9,330,40560,NA,NA,NA,0,0,NA,NA,NA,0,0,NA
2021,11,2021-09-02T21:28:00Z,20210201011,51700,Aurelia sp.,Aurelia sp.,U,NA,0,110,400601,4,Bering Sea,NA,S,"Can Trawl 400 headrope, 601 sidewalls",2021-09-02T20:58:00Z,61,-168.05,2021-09-02T21:28:00Z,61,-168.12,NA,29,49,17.9,330,40511,NA,NA,NA,0,0,NA,NA,NA,0,0,NA
