"","time","stationid","year_x","survey_x","station_x","speciestsn","commonname","scientificname","lhscode","samplingmethodcode","totalcatchnum","totalcatchwt","gearcode","eventcode","lme","stationnumber","year","masterstation","tow_type","gear_description","eqtime","eq_latitude","eq_longitude","haulback_time","haulback_latitude","haulback_longitude","speed","bottom_depth","avgnethorizontalopening","avgnetverticalopening","mwo","racecode","nodccode","notes","gearin_time","gearin_latitude","gearin_longitude","vessel","vesselname","gear_depth","gearout_latitude","gearout_longitude","gearout_time"
"1","2022-08-19T02:17:00Z","20220308001","2022","0308","001","556311","Long Fin Squid","Gonatus kamtschaticus","U",NA,2,13,"400601","06","Bering Sea",1,2022,"55.5-163.75","S","Can Trawl 400 headrope, 601 sidewalls","2022-08-19T01:47:00Z",55.52,-163.8,"2022-08-19T02:17:00Z",55.5,-163.76,NA,86,55.5,23.55,"197.92",79206,NA,NA,"2022-08-19T01:42:00Z",55.53,55.53,NA,NA,NA,0,0,NA
"2","2022-08-19T02:17:00Z","20220308001","2022","0308","001","934083","Pollock","Gadus chalcogrammus","U",NA,2100,2261,"400601","06","Bering Sea",1,2022,"55.5-163.75","S","Can Trawl 400 headrope, 601 sidewalls","2022-08-19T01:47:00Z",55.52,-163.8,"2022-08-19T02:17:00Z",55.5,-163.76,NA,86,55.5,23.55,"197.92",21740,"8791030701",NA,"2022-08-19T01:42:00Z",55.53,55.53,NA,NA,NA,0,0,NA
"3","2022-08-19T19:04:00Z","20220308003","2022","0308","003","50513","Staurophora mertensi","Staurophora mertensi","U",NA,0,5782,"400601","05","Bering Sea",3,2022,"56-163","S","Can Trawl 400 headrope, 601 sidewalls","2022-08-19T18:34:00Z",55.98,-163,"2022-08-19T19:04:00Z",55.94,-162.99,NA,84,55.5,25.22,"204.85",NA,"40562",NA,"2022-08-19T18:26:00Z",55.99,55.99,NA,NA,NA,0,0,NA
"4","2022-08-19T19:04:00Z","20220308003","2022","0308","003","50623","Aequorea  sp.","Aequorea sp.","U",NA,0,6440,"400601","05","Bering Sea",3,2022,"56-163","S","Can Trawl 400 headrope, 601 sidewalls","2022-08-19T18:34:00Z",55.98,-163,"2022-08-19T19:04:00Z",55.94,-162.99,NA,84,55.5,25.22,"204.85",40506,NA,NA,"2022-08-19T18:26:00Z",55.99,55.99,NA,NA,NA,0,0,NA
"5","2022-08-19T19:04:00Z","20220308003","2022","0308","003","51641","Northern Sea Nettle","Chrysaora melanaster","U",NA,223,92320,"400601","05","Bering Sea",3,2022,"56-163","S","Can Trawl 400 headrope, 601 sidewalls","2022-08-19T18:34:00Z",55.98,-163,"2022-08-19T19:04:00Z",55.94,-162.99,NA,84,55.5,25.22,"204.85",40504,NA,NA,"2022-08-19T18:26:00Z",55.99,55.99,NA,NA,NA,0,0,NA
"6","2022-08-19T19:04:00Z","20220308003","2022","0308","003","51671","Cyanea capillata","Cyanea capillata","U",NA,13,3390,"400601","05","Bering Sea",3,2022,"56-163","S","Can Trawl 400 headrope, 601 sidewalls","2022-08-19T18:34:00Z",55.98,-163,"2022-08-19T19:04:00Z",55.94,-162.99,NA,84,55.5,25.22,"204.85",40561,NA,NA,"2022-08-19T18:26:00Z",55.99,55.99,NA,NA,NA,0,0,NA
"7","2022-08-19T19:04:00Z","20220308003","2022","0308","003","51700","Aurelia sp.","Aurelia sp.","U",NA,1,224,"400601","05","Bering Sea",3,2022,"56-163","S","Can Trawl 400 headrope, 601 sidewalls","2022-08-19T18:34:00Z",55.98,-163,"2022-08-19T19:04:00Z",55.94,-162.99,NA,84,55.5,25.22,"204.85",40511,NA,NA,"2022-08-19T18:26:00Z",55.99,55.99,NA,NA,NA,0,0,NA
"8","2022-08-19T19:04:00Z","20220308003","2022","0308","003","160851","Longnose skate","Raja rhina","U",NA,1,60000,"400601","05","Bering Sea",3,2022,"56-163","S","Can Trawl 400 headrope, 601 sidewalls","2022-08-19T18:34:00Z",55.98,-163,"2022-08-19T19:04:00Z",55.94,-162.99,NA,84,55.5,25.22,"204.85",NA,"440",NA,"2022-08-19T18:26:00Z",55.99,55.99,NA,NA,NA,0,0,NA
"9","2022-08-19T19:04:00Z","20220308003","2022","0308","003","161975","Pink Salmon","Oncorhynchus gorbuscha","J",NA,1,10,"400601","05","Bering Sea",3,2022,"56-163","S","Can Trawl 400 headrope, 601 sidewalls","2022-08-19T18:34:00Z",55.98,-163,"2022-08-19T19:04:00Z",55.94,-162.99,NA,84,55.5,25.22,"204.85",23230,"8755010201",NA,"2022-08-19T18:26:00Z",55.99,55.99,NA,NA,NA,0,0,NA
"10","2022-08-19T19:04:00Z","20220308003","2022","0308","003","161976","Chum Salmon","Oncorhynchus keta","J",NA,27,814,"400601","05","Bering Sea",3,2022,"56-163","S","Can Trawl 400 headrope, 601 sidewalls","2022-08-19T18:34:00Z",55.98,-163,"2022-08-19T19:04:00Z",55.94,-162.99,NA,84,55.5,25.22,"204.85",23235,"8755010202",NA,"2022-08-19T18:26:00Z",55.99,55.99,NA,NA,NA,0,0,NA
"11","2022-08-19T19:04:00Z","20220308003","2022","0308","003","161979","Sockeye Salmon","Oncorhynchus nerka","J",NA,123,2883,"400601","05","Bering Sea",3,2022,"56-163","S","Can Trawl 400 headrope, 601 sidewalls","2022-08-19T18:34:00Z",55.98,-163,"2022-08-19T19:04:00Z",55.94,-162.99,NA,84,55.5,25.22,"204.85",23240,"8755010205",NA,"2022-08-19T18:26:00Z",55.99,55.99,NA,NA,NA,0,0,NA
"12","2022-08-19T19:04:00Z","20220308003","2022","0308","003","164711","Pacific Cod","Gadus macrocephalus","A0",NA,351,713,"400601","05","Bering Sea",3,2022,"56-163","S","Can Trawl 400 headrope, 601 sidewalls","2022-08-19T18:34:00Z",55.98,-163,"2022-08-19T19:04:00Z",55.94,-162.99,NA,84,55.5,25.22,"204.85",21720,"8791030401",NA,"2022-08-19T18:26:00Z",55.99,55.99,NA,NA,NA,0,0,NA
"13","2022-08-19T19:04:00Z","20220308003","2022","0308","003","167220","Crested Sculpin","Blepsias bilobus","U",NA,1,20,"400601","05","Bering Sea",3,2022,"56-163","S","Can Trawl 400 headrope, 601 sidewalls","2022-08-19T18:34:00Z",55.98,-163,"2022-08-19T19:04:00Z",55.94,-162.99,NA,84,55.5,25.22,"204.85",21397,"8831020601",NA,"2022-08-19T18:26:00Z",55.99,55.99,NA,NA,NA,0,0,NA
"14","2022-08-19T19:04:00Z","20220308003","2022","0308","003","170919","Pacific Sandfish","Trichodon trichodon","U",NA,6,540,"400601","05","Bering Sea",3,2022,"56-163","S","Can Trawl 400 headrope, 601 sidewalls","2022-08-19T18:34:00Z",55.98,-163,"2022-08-19T19:04:00Z",55.94,-162.99,NA,84,55.5,25.22,"204.85",21592,"8840010201",NA,"2022-08-19T18:26:00Z",55.99,55.99,NA,NA,NA,0,0,NA
"15","2022-08-19T19:04:00Z","20220308003","2022","0308","003","171659","Prowfish","Zaprora silenus","U",NA,3,11,"400601","05","Bering Sea",3,2022,"56-163","S","Can Trawl 400 headrope, 601 sidewalls","2022-08-19T18:34:00Z",55.98,-163,"2022-08-19T19:04:00Z",55.94,-162.99,NA,84,55.5,25.22,"204.85",24001,"8842150101",NA,"2022-08-19T18:26:00Z",55.99,55.99,NA,NA,NA,0,0,NA
"16","2022-08-19T19:04:00Z","20220308003","2022","0308","003","556311","Long Fin Squid","Gonatus kamtschaticus","U",NA,1,7,"400601","05","Bering Sea",3,2022,"56-163","S","Can Trawl 400 headrope, 601 sidewalls","2022-08-19T18:34:00Z",55.98,-163,"2022-08-19T19:04:00Z",55.94,-162.99,NA,84,55.5,25.22,"204.85",79206,NA,NA,"2022-08-19T18:26:00Z",55.99,55.99,NA,NA,NA,0,0,NA
"17","2022-08-19T19:04:00Z","20220308003","2022","0308","003","934083","Pollock","Gadus chalcogrammus","U",NA,21620,19170,"400601","05","Bering Sea",3,2022,"56-163","S","Can Trawl 400 headrope, 601 sidewalls","2022-08-19T18:34:00Z",55.98,-163,"2022-08-19T19:04:00Z",55.94,-162.99,NA,84,55.5,25.22,"204.85",21740,"8791030701",NA,"2022-08-19T18:26:00Z",55.99,55.99,NA,NA,NA,0,0,NA
"18","2022-08-19T23:29:00Z","20220308003","2022","0308","003","50513","Staurophora mertensi","Staurophora mertensi","U",NA,0,40446.29,"NETS156","06","Bering Sea",3,2022,"56-163","O","NETS Pelagic Trawl","2022-08-19T23:29:00Z",55.96,-162.99,"2022-08-19T23:29:00Z",55.96,-162.99,NA,86,18.2,12.1,"150",NA,"40562",NA,"2022-08-19T23:26:00Z",55.96,55.96,NA,NA,NA,0,0,NA
"19","2022-08-19T23:29:00Z","20220308003","2022","0308","003","50623","Aequorea  sp.","Aequorea sp.","U",NA,0,579.68,"NETS156","06","Bering Sea",3,2022,"56-163","O","NETS Pelagic Trawl","2022-08-19T23:29:00Z",55.96,-162.99,"2022-08-19T23:29:00Z",55.96,-162.99,NA,86,18.2,12.1,"150",40506,NA,NA,"2022-08-19T23:26:00Z",55.96,55.96,NA,NA,NA,0,0,NA
"20","2022-08-19T23:29:00Z","20220308003","2022","0308","003","51641","Northern Sea Nettle","Chrysaora melanaster","U",NA,467,716439.52,"NETS156","06","Bering Sea",3,2022,"56-163","O","NETS Pelagic Trawl","2022-08-19T23:29:00Z",55.96,-162.99,"2022-08-19T23:29:00Z",55.96,-162.99,NA,86,18.2,12.1,"150",40504,NA,NA,"2022-08-19T23:26:00Z",55.96,55.96,NA,NA,NA,0,0,NA
