qseqid,taxon,taxonomic_level,species,genus,family,order,class,phylum,kingdom,seq_percID,id_rank,top_perc,diff
ASV_0160,Sebastes 1,genus,Sebastes ciliatus,Sebastes,Sebastidae,Perciformes,Actinopteri,Chordata,Eukaryota,100,1,100,0
ASV_0160,Sebastes 1,genus,Sebastes crameri,Sebastes,Sebastidae,Perciformes,Actinopteri,Chordata,Eukaryota,100,1,100,0
ASV_0160,Sebastes 1,genus,Sebastes polyspinis,Sebastes,Sebastidae,Perciformes,Actinopteri,Chordata,Eukaryota,100,1,100,0
ASV_0160,Sebastes 1,genus,Sebastes reedi,Sebastes,Sebastidae,Perciformes,Actinopteri,Chordata,Eukaryota,100,1,100,0
ASV_0160,Sebastes 1,genus,Sebastes variabilis,Sebastes,Sebastidae,Perciformes,Actinopteri,Chordata,Eukaryota,100,1,100,0
ASV_0185,Sebastes 2,genus,Sebastes auriculatus,Sebastes,Sebastidae,Perciformes,Actinopteri,Chordata,Eukaryota,100,1,100,0
ASV_0185,Sebastes 2,genus,Sebastes rastrelliger,Sebastes,Sebastidae,Perciformes,Actinopteri,Chordata,Eukaryota,100,1,100,0
ASV_0253,Sebastes 3,genus,Sebastes aleutianus,Sebastes,Sebastidae,Perciformes,Actinopteri,Chordata,Eukaryota,99.405,1,99.405,0
ASV_0253,Sebastes 3,genus,Sebastes alutus,Sebastes,Sebastidae,Perciformes,Actinopteri,Chordata,Eukaryota,99.405,1,99.405,0
ASV_0253,Sebastes 3,genus,Sebastes babcocki,Sebastes,Sebastidae,Perciformes,Actinopteri,Chordata,Eukaryota,99.405,1,99.405,0
ASV_0253,Sebastes 3,genus,Sebastes brevispinis,Sebastes,Sebastidae,Perciformes,Actinopteri,Chordata,Eukaryota,99.405,1,99.405,0
ASV_0253,Sebastes 3,genus,Sebastes elongatus,Sebastes,Sebastidae,Perciformes,Actinopteri,Chordata,Eukaryota,99.405,1,99.405,0
ASV_0253,Sebastes 3,genus,Sebastes emphaeus,Sebastes,Sebastidae,Perciformes,Actinopteri,Chordata,Eukaryota,99.405,1,99.405,0
ASV_0253,Sebastes 3,genus,Sebastes flavidus,Sebastes,Sebastidae,Perciformes,Actinopteri,Chordata,Eukaryota,99.405,1,99.405,0
ASV_0253,Sebastes 3,genus,Sebastes goodei,Sebastes,Sebastidae,Perciformes,Actinopteri,Chordata,Eukaryota,99.405,1,99.405,0
ASV_0253,Sebastes 3,genus,Sebastes helvomaculatus,Sebastes,Sebastidae,Perciformes,Actinopteri,Chordata,Eukaryota,99.405,1,99.405,0
ASV_0253,Sebastes 3,genus,Sebastes jordani,Sebastes,Sebastidae,Perciformes,Actinopteri,Chordata,Eukaryota,99.405,1,99.405,0
ASV_0253,Sebastes 3,genus,Sebastes melanops,Sebastes,Sebastidae,Perciformes,Actinopteri,Chordata,Eukaryota,99.405,1,99.405,0
ASV_0253,Sebastes 3,genus,Sebastes melanostictus,Sebastes,Sebastidae,Perciformes,Actinopteri,Chordata,Eukaryota,99.405,1,99.405,0
ASV_0253,Sebastes 3,genus,Sebastes miniatus,Sebastes,Sebastidae,Perciformes,Actinopteri,Chordata,Eukaryota,99.405,1,99.405,0
ASV_0253,Sebastes 3,genus,Sebastes pinniger,Sebastes,Sebastidae,Perciformes,Actinopteri,Chordata,Eukaryota,99.405,1,99.405,0
ASV_0253,Sebastes 3,genus,Sebastes proriger,Sebastes,Sebastidae,Perciformes,Actinopteri,Chordata,Eukaryota,99.405,1,99.405,0
ASV_0253,Sebastes 3,genus,Sebastes rosaceus,Sebastes,Sebastidae,Perciformes,Actinopteri,Chordata,Eukaryota,99.405,1,99.405,0
ASV_0253,Sebastes 3,genus,Sebastes ruberrimus,Sebastes,Sebastidae,Perciformes,Actinopteri,Chordata,Eukaryota,99.405,1,99.405,0
ASV_0253,Sebastes 3,genus,Sebastes variegatus,Sebastes,Sebastidae,Perciformes,Actinopteri,Chordata,Eukaryota,99.405,1,99.405,0
ASV_0253,Sebastes 3,genus,Sebastes wilsoni,Sebastes,Sebastidae,Perciformes,Actinopteri,Chordata,Eukaryota,99.405,1,99.405,0
