qseqid,taxon,taxonomic_level,species,genus,family,order,class,phylum,kingdom,seq_percID,id_rank,top_perc,diff
ASV_0010,Limanda aspera,species,Limanda aspera,Limanda,Pleuronectidae,Pleuronectiformes,Actinopteri,Chordata,Eukaryota,100,1,100,0
ASV_0025,Hippoglossoides,genus,Hippoglossoides elassodon,Hippoglossoides,Pleuronectidae,Pleuronectiformes,Actinopteri,Chordata,Eukaryota,100,1,100,0
ASV_0025,Hippoglossoides,genus,Hippoglossoides robustus,Hippoglossoides,Pleuronectidae,Pleuronectiformes,Actinopteri,Chordata,Eukaryota,100,1,100,0
ASV_0027,Pleuronectes quadrituberculatus,species,Pleuronectes quadrituberculatus,Pleuronectes,Pleuronectidae,Pleuronectiformes,Actinopteri,Chordata,Eukaryota,100,1,100,0
ASV_0042,Platichthys,genus,Platichthys flesus,Platichthys,Pleuronectidae,Pleuronectiformes,Actinopteri,Chordata,Eukaryota,100,1,100,0
ASV_0042,Platichthys,genus,Platichthys stellatus,Platichthys,Pleuronectidae,Pleuronectiformes,Actinopteri,Chordata,Eukaryota,100,1,100,0
ASV_0058,Lepidopsetta,genus,Lepidopsetta bilineata,Lepidopsetta,Pleuronectidae,Pleuronectiformes,Actinopteri,Chordata,Eukaryota,100,1,100,0
ASV_0058,Lepidopsetta,genus,Lepidopsetta polyxystra,Lepidopsetta,Pleuronectidae,Pleuronectiformes,Actinopteri,Chordata,Eukaryota,100,1,100,0
ASV_0085,Hippoglossus stenolepis,species,Hippoglossus stenolepis,Hippoglossus,Pleuronectidae,Pleuronectiformes,Actinopteri,Chordata,Eukaryota,100,1,100,0
ASV_0104,Pleuronectidae 1,family,Acanthopsetta nadeshnyi,Acanthopsetta,Pleuronectidae,Pleuronectiformes,Actinopteri,Chordata,Eukaryota,98.817,1,98.817,0
ASV_0104,Pleuronectidae 1,family,Platichthys flesus,Platichthys,Pleuronectidae,Pleuronectiformes,Actinopteri,Chordata,Eukaryota,98.817,1,98.817,0
ASV_0104,Pleuronectidae 1,family,Platichthys stellatus,Platichthys,Pleuronectidae,Pleuronectiformes,Actinopteri,Chordata,Eukaryota,98.817,1,98.817,0
ASV_0124,Pleuronectes quadrituberculatus,species,Pleuronectes quadrituberculatus,Pleuronectes,Pleuronectidae,Pleuronectiformes,Actinopteri,Chordata,Eukaryota,99.408,1,99.408,0
ASV_0130,Limanda aspera,species,Limanda aspera,Limanda,Pleuronectidae,Pleuronectiformes,Actinopteri,Chordata,Eukaryota,99.408,1,99.408,0
