"qseqid","species","genus","family","order","class","phylum","kingdom","seq_percID","id_rank","top_perc","diff","taxonomic_level","taxon"
"ASV_0026","Myoxocephalus jaok","Myoxocephalus","Cottidae","Perciformes","Actinopteri","Chordata","Eukaryota",100,1,100,0,"genus","Myoxocephalus"
"ASV_0026","Myoxocephalus polyacanthocephalus","Myoxocephalus","Cottidae","Perciformes","Actinopteri","Chordata","Eukaryota",100,1,100,0,"genus","Myoxocephalus"
"ASV_0026","Myoxocephalus stelleri","Myoxocephalus","Cottidae","Perciformes","Actinopteri","Chordata","Eukaryota",100,1,100,0,"genus","Myoxocephalus"
"ASV_0037","Myoxocephalus quadricornis","Myoxocephalus","Cottidae","Perciformes","Actinopteri","Chordata","Eukaryota",100,1,100,0,"genus","Myoxocephalus"
"ASV_0037","Myoxocephalus scorpius","Myoxocephalus","Cottidae","Perciformes","Actinopteri","Chordata","Eukaryota",100,1,100,0,"genus","Myoxocephalus"
"ASV_0134","Myoxocephalus jaok","Myoxocephalus","Cottidae","Perciformes","Actinopteri","Chordata","Eukaryota",99.408,1,99.408,0,"genus","Myoxocephalus"
"ASV_0134","Myoxocephalus polyacanthocephalus","Myoxocephalus","Cottidae","Perciformes","Actinopteri","Chordata","Eukaryota",99.408,1,99.408,0,"genus","Myoxocephalus"
"ASV_0134","Myoxocephalus stelleri","Myoxocephalus","Cottidae","Perciformes","Actinopteri","Chordata","Eukaryota",99.408,1,99.408,0,"genus","Myoxocephalus"
"ASV_0148","Hemilepidotus jordani","Hemilepidotus","Cottidae","Perciformes","Actinopteri","Chordata","Eukaryota",100,1,100,0,"genus","Hemilepidotus"
"ASV_0148","Hemilepidotus papilio","Hemilepidotus","Cottidae","Perciformes","Actinopteri","Chordata","Eukaryota",100,1,100,0,"genus","Hemilepidotus"
"ASV_0171","Myoxocephalus jaok","Myoxocephalus","Cottidae","Perciformes","Actinopteri","Chordata","Eukaryota",99.408,1,99.408,0,"genus","Myoxocephalus"
"ASV_0171","Myoxocephalus polyacanthocephalus","Myoxocephalus","Cottidae","Perciformes","Actinopteri","Chordata","Eukaryota",99.408,1,99.408,0,"genus","Myoxocephalus"
"ASV_0171","Myoxocephalus stelleri","Myoxocephalus","Cottidae","Perciformes","Actinopteri","Chordata","Eukaryota",99.408,1,99.408,0,"genus","Myoxocephalus"
"ASV_0242","Myoxocephalus quadricornis","Myoxocephalus","Cottidae","Perciformes","Actinopteri","Chordata","Eukaryota",99.408,1,99.408,0,"genus","Myoxocephalus"
"ASV_0242","Myoxocephalus scorpius","Myoxocephalus","Cottidae","Perciformes","Actinopteri","Chordata","Eukaryota",99.408,1,99.408,0,"genus","Myoxocephalus"
"ASV_0259","Myoxocephalus jaok","Myoxocephalus","Cottidae","Perciformes","Actinopteri","Chordata","Eukaryota",99.408,1,99.408,0,"genus","Myoxocephalus"
"ASV_0259","Myoxocephalus polyacanthocephalus","Myoxocephalus","Cottidae","Perciformes","Actinopteri","Chordata","Eukaryota",99.408,1,99.408,0,"genus","Myoxocephalus"
"ASV_0259","Myoxocephalus stelleri","Myoxocephalus","Cottidae","Perciformes","Actinopteri","Chordata","Eukaryota",99.408,1,99.408,0,"genus","Myoxocephalus"
"ASV_0844","Hemilepidotus jordani","Hemilepidotus","Cottidae","Perciformes","Actinopteri","Chordata","Eukaryota",99.408,1,99.408,0,"genus","Hemilepidotus"
"ASV_0844","Hemilepidotus papilio","Hemilepidotus","Cottidae","Perciformes","Actinopteri","Chordata","Eukaryota",99.408,1,99.408,0,"genus","Hemilepidotus"
"ASV_0936","Myoxocephalus jaok","Myoxocephalus","Cottidae","Perciformes","Actinopteri","Chordata","Eukaryota",99.408,1,99.408,0,"genus","Myoxocephalus"
"ASV_0936","Myoxocephalus polyacanthocephalus","Myoxocephalus","Cottidae","Perciformes","Actinopteri","Chordata","Eukaryota",99.408,1,99.408,0,"genus","Myoxocephalus"
"ASV_0936","Myoxocephalus stelleri","Myoxocephalus","Cottidae","Perciformes","Actinopteri","Chordata","Eukaryota",99.408,1,99.408,0,"genus","Myoxocephalus"
