"","ASV","taxon","taxonomic_level"
"1","ASV_0001","Gadidae","family"
"2","ASV_0002","Clupea pallasii","species"
"3","ASV_0002","Clupea harengus","species"
"4","ASV_0002","Sprattus sprattus","species"
"5","ASV_0003","Oncorhynchus","genus"
"6","ASV_0004","Stichaeidae","family"
"7","ASV_0005","Ammodytes","genus"
"8","ASV_0006","Boreogadus saida","species"
"9","ASV_0007","Gadus chalcogrammus","species"
"10","ASV_0008","Oncorhynchus tshawytscha","species"
"11","ASV_0009","Gadidae","family"
"12","ASV_0010","Pleuronectidae","family"
"13","ASV_0011","Gadus","genus"
"14","ASV_0012","Eleginus gracilis","species"
"15","ASV_0013","Oncorhynchus","genus"
"16","ASV_0015","Stichaeidae","family"
"17","ASV_0016","Mallotus villosus","species"
"18","ASV_0017","Oncorhynchus kisutch","species"
"19","ASV_0018","Oncorhynchus","genus"
"20","ASV_0019","Ammodytes","genus"
"21","ASV_0020","Lycodes","genus"
"22","ASV_0021","Oncorhynchus","genus"
"23","ASV_0023","Gymnocanthus tricuspis","species"
"24","ASV_0024","Osmerus mordax","species"
"25","ASV_0025","Pleuronectidae","family"
"26","ASV_0026","Myoxocephalus","genus"
"27","ASV_0027","Pleuronectidae","family"
"28","ASV_0029","Liparis","genus"
"29","ASV_0030","Hexagrammos","genus"
"30","ASV_0031","Oncorhynchus tshawytscha","species"
"31","ASV_0032","Gadidae","family"
"32","ASV_0034","Oncorhynchus","genus"
"33","ASV_0035","Oncorhynchus","genus"
"34","ASV_0036","Oncorhynchus","genus"
"35","ASV_0037","Cottidae","family"
"36","ASV_0038","Lycodes fasciatus","species"
"37","ASV_0038","Lycodes palearis","species"
"38","ASV_0039","Oncorhynchus tshawytscha","species"
"39","ASV_0040","Lycodes raridens","species"
"40","ASV_0040","Lycodes paamiuti","species"
"41","ASV_0040","Lycodes terraenovae","species"
"42","ASV_0041","Gadidae","family"
"43","ASV_0042","Pleuronectidae","family"
"44","ASV_0043","Clupea harengus","species"
"45","ASV_0043","Clupea pallasii","species"
"46","ASV_0043","Sprattus sprattus","species"
"47","ASV_0044","Oncorhynchus","genus"
"48","ASV_0045","Gadidae","family"
"49","ASV_0046","Pleurogrammus monopterygius","species"
"50","ASV_0047","Asterias amurensis","species"
"51","ASV_0048","Pungitius laevis","species"
"52","ASV_0048","Pungitius pungitius","species"
"53","ASV_0048","Pungitius sinensis","species"
"54","ASV_0049","Stichaeus punctatus","species"
"55","ASV_0051","Gadus","genus"
"56","ASV_0052","Gadidae","family"
"57","ASV_0053","Liparis","genus"
"58","ASV_0054","Gymnelus hemifasciatus","species"
"59","ASV_0055","Gasterosteus aculeatus","species"
"60","ASV_0056","Liparis","genus"
"61","ASV_0058","Pleuronectidae","family"
"62","ASV_0059","Oncorhynchus","genus"
"63","ASV_0060","Salvelinus","genus"
"64","ASV_0062","Pholis","genus"
"65","ASV_0063","Poroclinus rothrocki","species"
"66","ASV_0063","Xenolumpenus longipterus","species"
"67","ASV_0064","Gadidae","family"
"68","ASV_0065","Stichaeidae","family"
"69","ASV_0066","Clupea pallasii","species"
"70","ASV_0066","Clupea harengus","species"
"71","ASV_0066","Sprattus sprattus","species"
"72","ASV_0067","Gadus chalcogrammus","species"
"73","ASV_0067","Gadus morhua","species"
"74","ASV_0068","Anoplarchus","genus"
"75","ASV_0069","Gadidae","family"
"76","ASV_0070","Gadidae","family"
"77","ASV_0072","Gadus chalcogrammus","species"
"78","ASV_0072","Gadus morhua","species"
"79","ASV_0073","Gadidae","family"
"80","ASV_0074","Gadus","genus"
"81","ASV_0075","Gadidae","family"
"82","ASV_0076","Gadidae","family"
"83","ASV_0077","Blepsias bilobus","species"
"84","ASV_0078","Gadidae","family"
"85","ASV_0079","Perciformes","order"
"86","ASV_0080","Gadidae","family"
"87","ASV_0081","Gadidae","family"
"88","ASV_0082","Liparis","genus"
"89","ASV_0082","Polypera greeni","species"
"90","ASV_0084","Gadus","genus"
"91","ASV_0085","Pleuronectidae","family"
"92","ASV_0087","Eumesogrammus praecisus","species"
"93","ASV_0087","Ulvaria subbifurcata","species"
"94","ASV_0087","Stichaeopsis nevelskoi","species"
"95","ASV_0088","Gadus","genus"
"96","ASV_0089","Oncorhynchus","genus"
"97","ASV_0090","Lycodes","genus"
"98","ASV_0091","Gadidae","family"
"99","ASV_0092","Mallotus villosus","species"
"100","ASV_0094","Oncorhynchus tshawytscha","species"
"101","ASV_0095","Oncorhynchus","genus"
"102","ASV_0097","Gadidae","family"
"103","ASV_0099","Gadidae","family"
"104","ASV_0101","Oncorhynchus","genus"
"105","ASV_0102","Gadidae","family"
"106","ASV_0103","Oligocottus","genus"
"107","ASV_0104","Pleuronectidae","family"
"108","ASV_0105","Artedius lateralis","species"
"109","ASV_0106","Leptoclinus maculatus","species"
"110","ASV_0107","Salvelinus","genus"
"111","ASV_0110","Clupea pallasii","species"
"112","ASV_0110","Clupea harengus","species"
"113","ASV_0110","Sprattus sprattus","species"
"114","ASV_0111","Xiphister","genus"
"115","ASV_0112","Aptocyclus ventricosus","species"
"116","ASV_0114","Gadidae","family"
"117","ASV_0115","Mallotus villosus","species"
"118","ASV_0116","Gadidae","family"
"119","ASV_0117","Ammodytes","genus"
"120","ASV_0118","Gadidae","family"
"121","ASV_0119","Gadus","genus"
"122","ASV_0120","Triglops pingelii","species"
